Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,DataQuality,Derivationmethod,Relatedsourcelinks
fin11b.s,"""No account because financial services are too expensive (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11c,No account because of a lack of necessary documentation (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.""",Triennial,2021 variable,"""The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11c.s,"""No account because of a lack of necessary documentation (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11d,No account because of a lack of trust in financial institutions (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.,Triennial,2021 variable,The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11d.s,"""No account because of a lack of trust in financial institutions (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11e,No account because of religious reasons (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a financial institution account for religious reasons.,Triennial,2021 variable,The percentage of respondents who report not having a financial institution account for religious reasons.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11e.s,"""No account because of religious reasons (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11f,No account because of insufficient funds (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.,Triennial,2021 variable,The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11f.s,"""No account because of insufficient funds (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11g,No account because someone in the family has one (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a financial institution account because someone else in their family already has one.,Triennial,2021 variable,The percentage of respondents who report not having a financial institution account because someone else in their family already has one.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin11g.s,"""No account because someone in the family has one (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents reporting having no account, the percentage who report not having a financial institution account because someone else in their family already has one.""",Triennial,2021 variable,"""Among respondents reporting having no account, the percentage who report not having a financial institution account because someone else in their family already has one.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1a,Reason for not having a mobile money account: mobile money agents are too far away (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a mobile money account because mobile money agents are too far away.,Triennial,2021 variable,The percentage of respondents who report not having a mobile money account because mobile money agents are too far away.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1a.s,"""Reason for not having a mobile money account: mobile money agents are too far away (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a mobile money account because mobile money agents are too far away.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a mobile money account because mobile money agents are too far away.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1b,Reason for not having a mobile money account: available mobile money products are too expensive (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report that they don't have a mobile money account because mobile money products are too expensive.,Triennial,2021 variable,The percentage of respondents who report that they don't have a mobile money account because mobile money products are too expensive.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1b.s,"""Reason for not having a mobile money account: available mobile money products are too expensive (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report that they don't have a mobile money account because mobile money products are too expensive.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report that they don't have a mobile money account because mobile money products are too expensive.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1c,Reason for not having a mobile money account: don't have the necessary documentation (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a mobile money account because they don't have the necessary documentation.,Triennial,2021 variable,The percentage of respondents who report not having a mobile money account because they don't have the necessary documentation.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1c.s,"""Reason for not having a mobile money account: don't have the necessary documentation (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they don't have the necessary documentation.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they don't have the necessary documentation.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1d,Reason for not having a mobile money account: don't have enough money to use a mobile money account (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a mobile money account because they do not have enough money to use one.,Triennial,2021 variable,The percentage of respondents who report not having a mobile money account because they do not have enough money to use one.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1d.s,"""Reason for not having a mobile money account: don't have enough money to use a mobile money account (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they do not have enough money to use one.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they do not have enough money to use one.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1e,Reason for not having a mobile money account: use an agent or someone else to make payments (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a mobile money account because they use an agent or someone else to make payments.,Triennial,2021 variable,The percentage of respondents who report not having a mobile money account because they use an agent or someone else to make payments.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1e.s,"""Reason for not having a mobile money account: use an agent or someone else to make payments (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no mobile money account, the percentage who give the reason that they use an agent or someone else to make payments.""",Triennial,2021 variable,"""Among respondents who report having no mobile money account, the percentage who give the reason that they use an agent or someone else to make payments.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1f,Reason for not having a mobile money account: do not have their own mobile phone (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report not having a mobile money account because they do not have their own mobile phone.,Triennial,2021 variable,The percentage of respondents who report not having a mobile money account because they do not have their own mobile phone.,Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13.1f.s,"""Reason for not having a mobile money account: do not have their own mobile phone (% without an account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they do not have their own mobile phone.""",Triennial,2021 variable,"""Among respondents who report having no account, the percentage who report not having a mobile money account because they do not have their own mobile phone.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13a,Use a mobile money account two or more times a month (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile money account to make payments, buy things, or to send or receive money two or more times a month.""",Triennial,2021 variable,"""The percentage of respondents who report using a mobile money account to make payments, buy things, or to send or receive money two or more times a month.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13a.s,"""Use a mobile money account two or more times a month (% with a mobile money account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents with a mobile money account, the percentage who report using it to make payments, buy things, or to send or receive money two or more times a month.""",Triennial,2021 variable,"""Among respondents with a mobile money account, the percentage who report using it to make payments, buy things, or to send or receive money two or more times a month.""",Global Findex database,Assets,Percent,,,,,,,,,,,,
fin13d,"""Can use a mobile money account without help from anyone, including a mobile money agent (% age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report that they can use a mobile money account without the help of another person or a mobile money agent.,Triennial,2021 variable,The percentage of respondents who report that they can use a mobile money account without help.,Global Findex database,Technology,Percent,,,,,,,,,,,,
fin13d.s,"""Can use a mobile money account without help from anyone, including a mobile money agent (% with a mobile money account, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report having a mobile money account, the percentage who can use it without help.""",Triennial,2021 variable,"""Among respondents who report having a mobile money account, the percentage who can use it without help.""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14.1.d,Made a digital in-store merchant payment: using a mobile phone (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report using a mobile phone to make an in-store purchase.,Triennial,2021 variable,The percentage of respondents who report using a mobile phone to make an in-store purchase.,Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14.1.d.1,"""Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile phone to make an in-store purchase, female (% age 15+)""",Triennial,2021 variable,"""The percentage of respondents who report using a mobile phone to make an in-store purchase, female (% age 15+)""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14.1.d.2,"""Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile phone to make an in-store purchase, male (% age 15+)""",Triennial,2021 variable,"""The percentage of respondents who report using a mobile phone to make an in-store purchase, male (% age 15+)""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14.2,Made a digital in-store merchant payment for the first time after COVID-19 started (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report that after COVID-19 started, they used for the first time a debit or credit card or a mobile phone to make a purchase in-store.""",Triennial,2021 variable,"""The percentage of respondents who report that after COVID-19 started, they used for the first time a debit or credit card or a mobile phone to make a purchase in-store.""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14.2.s,"""Made a digital in-store merchant payment for the first time after COVID-19 started (% who made a digital in-store payment, age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Among respondents who report using a debit or credit card, or a mobile phone, to make a purchase in-store, the percentage who report doing so for the first time after COVID-19 started.""",Triennial,2021 variable,"""Among respondents who report using a debit or credit card, or a mobile phone, to make a purchase in-store, the percentage who report doing so for the first time after COVID-19 started.""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14a.t.d,Used a mobile phone or the internet to pay bills (% age 15+),Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year.,Triennial,2021,The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year.,Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14a.t.d.1,"""Used a mobile phone or the internet to pay bills, female (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year, female (% age 15+)""",Triennial,2021,"""The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year, female (% age 15+)""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14a.t.d.2,"""Used a mobile phone or the internet to pay bills, male (% age 15+)""",Weighted average,Global Findex,Time series variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year, male (% age 15+)""",Triennial,2021,"""The percentage of respondents who report using a mobile phone or the Internet to pay bills in the past year, male (% age 15+)""",Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14a1.d,Used a mobile phone or the internet to send money (% age 15+),Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The percentage of respondents who report using a mobile phone or the Internet to send money to a relative or friend in the past year.,Triennial,2021 variable,The percentage of respondents who report using a mobile phone or the Internet to send money to a relative or friend in the past year.,Global Findex database,Technology,Percent,,,,,,,,,,,,
fin14a1.d.1,"""Used a mobile phone or the internet to send money, female (% age 15+)""",Weighted average,Global Findex,2021 variables,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The percentage of respondents who report using a mobile phone or the Internet to send money to a relative or friend in the past year, female (% age 15+)""",Triennial,2021 variable,"""The percentage of respondents who report using a mobile phone or the Internet to send money to a relative or friend in the past year, female (% age 15+)""",Global Findex database,Technology,Percent,,,,,,,,,,,,
